name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Main Street,765572258,False,14.2,0,14.2,109.3,563.0
Diamond Flats,765572259,False,11.9,0,11.9,95.9,573.3
Half Pipe,765572260,False,13.6,0,13.6,45.0,208.7
Jump Hill,765572261,False,16.8,0,16.8,106.5,514.6
Southside,765572262,False,17.3,0,17.3,112.5,677.5
Abbot,765572263,False,16.2,0,16.2,111.4,516.5
Soltman,765572264,False,17.5,0,17.5,88.7,417.4
Dixie,765572265,False,17.3,0,17.3,59.3,251.8
Bunny Hill,765572266,False,11.1,0,11.1,14.7,83.8
