name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Deer Track Trail,997586582,False,23.0,0,23.0,121.6,740.5
Powderstash,997586583,False,22.2,0,22.2,68.7,243.3
Powderstash Glade,997586584,False,23.1,1,23.1,71.4,218.9
Lookout,997586585,False,24.7,0,24.7,91.8,326.0
The Plunge,997586586,False,26.9,0,26.9,90.7,297.6
Copper Chute Glade,997586587,False,26.4,1,26.4,51.5,126.3
Bonzal,997586588,False,26.0,0,26.0,85.3,255.4
Wipeout,997586589,False,23.8,0,23.8,123.6,556.2
That Road,997586590,False,25.8,0,25.8,123.8,620.3
Tools Tumble,997586591,False,17.3,0,17.3,30.0,179.8
Certified,997586592,False,27.7,0,27.7,53.4,123.6
Rythym Terrain Park,997586593,False,14.2,0,14.2,55.6,332.3
Learning Area,997586594,False,9.6,0,9.6,17.0,105.6
Bypass,997586595,False,12.2,0,12.2,17.7,137.7
Center Bowl,997586596,False,26.5,0,26.5,40.9,157.6
Fred's Landing,997586597,False,30.3,0,30.3,55.9,148.5
Danny Boy,997586598,False,24.5,0,24.5,124.7,554.7
Big Air Terrain Park,997586599,False,17.4,0,17.4,36.0,178.4
Husky Bowl,997586600,False,24.3,0,24.3,79.2,274.8
The Chute,997586601,False,23.0,0,23.0,72.0,213.0
Racer's Ridge,997586602,False,25.5,0,25.5,113.2,470.0
The Ripley Triangle,997586603,False,26.0,0,26.0,104.2,376.9
