name,id,is_area,difficulty,difficulty_modifier,steepest_pitch,vert,length
Floating Feather,353505305,False,15.1,0,15.1,181.4,1690.7
Ice Man,353505306,False,19.0,0,19.0,81.3,353.1
Whisper,717935174,False,26.8,0,26.8,100.4,382.7
Chubby's Trail,717935175,False,13.6,0,13.6,24.1,215.4
 _1,717935176,False,11.6,0,11.6,29.0,333.3
 _2,717935177,False,11.6,0,11.6,21.4,255.4
Jenny's Trail,717935178,False,17.4,0,17.4,140.6,977.3
 _3,717935179,False,17.6,0,17.6,130.3,577.7
Maverick,717935180,False,20.5,0,20.5,95.5,405.5
Mojo,717935181,False,14.1,0,14.1,76.2,436.5
Goose,717935182,False,19.8,0,19.8,93.3,346.0
Backdoor,1006683255,False,15.2,0,15.2,251.5,1739.6
 _4,1011073360,False,14.3,0,14.3,41.7,222.9
Levi,1015382958,False,25.3,0,25.3,360.5,1584.7
