,coordinates,elevation
0,"(44.4610929, -70.8509912)",428
1,"(44.4609857, -70.8507445)",428
2,"(44.4608556, -70.8504655)",428
3,"(44.460779, -70.8502402)",428
4,"(44.4607943, -70.85009)",428
5,"(44.4608785, -70.849972)",390
6,"(44.461024, -70.8499291)",390
7,"(44.4612155, -70.8499291)",390
8,"(44.4613303, -70.8499291)",390
9,"(44.4613839, -70.8498432)",390
10,"(44.4613839, -70.8496179)",390
11,"(44.461292, -70.849339)",390
12,"(44.4612844, -70.8491244)",390
13,"(44.4614222, -70.8489313)",390
14,"(44.4616519, -70.8487596)",390
15,"(44.4617515, -70.8487167)",390
0,"(44.4613609, -70.8511414)",428
1,"(44.4617591, -70.8509054)",428
2,"(44.4631451, -70.8501866)",375
3,"(44.4647761, -70.8493497)",317
4,"(44.4671497, -70.8480837)",280
5,"(44.4689719, -70.8471718)",254
6,"(44.4691404, -70.8472254)",254
0,"(44.4611312, -70.8510985)",428
1,"(44.4613992, -70.8513882)",428
2,"(44.4618434, -70.8517744)",428
3,"(44.4620731, -70.8518603)",428
4,"(44.4622109, -70.8518603)",428
5,"(44.4623028, -70.8517208)",428
6,"(44.4622951, -70.851474)",428
7,"(44.4622262, -70.8507874)",428
8,"(44.4620961, -70.8502831)",428
9,"(44.4619965, -70.8498325)",390
10,"(44.4619046, -70.849575)",390
11,"(44.461874, -70.8492853)",390
12,"(44.4618204, -70.8487704)",390
0,"(44.4657944, -70.848191)",317
1,"(44.4658863, -70.8479764)",317
2,"(44.4659246, -70.8477511)",295
3,"(44.465894, -70.8475151)",295
4,"(44.4658174, -70.8472039)",295
5,"(44.4656643, -70.8468928)",295
6,"(44.4654422, -70.8465709)",295
7,"(44.4652661, -70.8463993)",295
8,"(44.4651972, -70.8461525)",295
9,"(44.4652017, -70.8459992)",295
10,"(44.4652035, -70.845938)",295
11,"(44.4652048, -70.845895)",295
12,"(44.4652508, -70.8455624)",278
13,"(44.4652814, -70.8453479)",278
14,"(44.4654039, -70.8452298)",278
15,"(44.4655571, -70.8452298)",278
16,"(44.4656472, -70.8452248)",278
0,"(44.4623105, -70.8519032)",428
1,"(44.4627163, -70.8519032)",375
2,"(44.4631298, -70.8517422)",375
3,"(44.4636352, -70.8514418)",375
4,"(44.4640103, -70.8510127)",375
5,"(44.4641558, -70.8507015)",375
6,"(44.4643702, -70.8502402)",375
7,"(44.4646153, -70.8500149)",339
8,"(44.4648297, -70.8499613)",317
9,"(44.4651512, -70.8500364)",339
10,"(44.4658557, -70.8501973)",339
11,"(44.466139, -70.8502938)",339
12,"(44.4662921, -70.8502938)",339
13,"(44.4665678, -70.8499827)",317
14,"(44.4667362, -70.8494677)",280
15,"(44.466897, -70.84906)",280
16,"(44.4672186, -70.8486952)",280
17,"(44.4676473, -70.8483519)",280
0,"(44.4617821, -70.848706)",390
1,"(44.4619735, -70.8485021)",390
2,"(44.4622645, -70.848191)",390
3,"(44.4625019, -70.8481266)",351
4,"(44.4627469, -70.8481481)",351
5,"(44.4630915, -70.8482983)",351
6,"(44.4632523, -70.8482983)",351
7,"(44.463505, -70.8482554)",351
8,"(44.4638113, -70.8482768)",351
9,"(44.4641558, -70.8481588)",351
10,"(44.4643855, -70.8481695)",351
11,"(44.4647684, -70.8482017)",317
12,"(44.4650058, -70.8481266)",317
13,"(44.4651742, -70.8481266)",317
14,"(44.4654652, -70.8482232)",317
15,"(44.4657561, -70.8482983)",317
16,"(44.4660624, -70.8482876)",317
17,"(44.4665831, -70.8480622)",317
18,"(44.4669582, -70.8479335)",280
19,"(44.4671726, -70.847912)",274
20,"(44.4674866, -70.8481588)",280
21,"(44.4678311, -70.8483519)",280
22,"(44.4682369, -70.8484056)",280
23,"(44.468658, -70.8482876)",280
24,"(44.468903, -70.8481052)",265
25,"(44.4690791, -70.847912)",254
26,"(44.4691557, -70.8476009)",254
27,"(44.4692169, -70.8471288)",254
0,"(44.4583819, -70.8600571)",699
1,"(44.4584738, -70.8604326)",695
2,"(44.4585313, -70.8609637)",695
3,"(44.4585313, -70.8613177)",695
4,"(44.4585198, -70.8617415)",695
5,"(44.4585313, -70.8620419)",695
6,"(44.4585925, -70.862294)",695
7,"(44.4585925, -70.8624872)",695
8,"(44.4586423, -70.8627393)",686
9,"(44.4587419, -70.8628412)",686
10,"(44.4588835, -70.8628627)",686
11,"(44.4590482, -70.8628627)",686
12,"(44.4591286, -70.8629378)",686
13,"(44.4592243, -70.863147)",686
14,"(44.4593162, -70.8633777)",686
15,"(44.4594579, -70.8635225)",686
16,"(44.4595804, -70.8635654)",686
17,"(44.4596531, -70.8635171)",686
18,"(44.4597182, -70.863383)",686
19,"(44.4598178, -70.8630987)",686
20,"(44.4599518, -70.8628949)",686
21,"(44.4601279, -70.8627232)",686
22,"(44.4603423, -70.8626374)",686
23,"(44.4605376, -70.862455)",613
24,"(44.4606486, -70.8622082)",613
25,"(44.4607443, -70.8618756)",613
