,coordinates,elevation
0,"(43.4034946, -72.7513625)",1004
1,"(43.4032571, -72.7514559)",1004
2,"(43.4028296, -72.7514372)",1004
3,"(43.4025785, -72.7512971)",1004
4,"(43.4024156, -72.7509982)",1004
5,"(43.4022324, -72.7507554)",1004
6,"(43.4020424, -72.7506994)",955
7,"(43.4018117, -72.7507461)",955
8,"(43.4014859, -72.750634)",955
9,"(43.4012756, -72.7504845)",955
10,"(43.4008005, -72.7504005)",955
11,"(43.4004137, -72.7503725)",955
12,"(43.3999048, -72.7504285)",883
13,"(43.3988054, -72.7505966)",883
14,"(43.3983032, -72.7505406)",883
15,"(43.397292, -72.7500642)",843
16,"(43.3966541, -72.749756)",841
17,"(43.3960433, -72.7489995)",841
18,"(43.3955004, -72.7480468)",799
19,"(43.3947877, -72.7467766)",782
20,"(43.3944688, -72.7461601)",782
21,"(43.3944009, -72.7454783)",755
22,"(43.3943941, -72.7448525)",755
23,"(43.3943127, -72.7443295)",755
24,"(43.3941837, -72.743685)",748
25,"(43.3941905, -72.7431433)",748
26,"(43.3942787, -72.7427043)",748
27,"(43.3942991, -72.7423027)",748
28,"(43.3942109, -72.7417983)",748
29,"(43.3939462, -72.7412193)",709
30,"(43.3938647, -72.7407616)",709
31,"(43.3939598, -72.7402106)",709
0,"(43.4049909, -72.7504804)",1005
1,"(43.4049006, -72.750403)",1005
2,"(43.4048293, -72.7503713)",1005
3,"(43.404601, -72.7503644)",1005
4,"(43.404255, -72.7503831)",1005
5,"(43.4040039, -72.7503364)",1004
6,"(43.4037449, -72.7502697)",1004
7,"(43.4035851, -72.7502053)",1004
8,"(43.4032382, -72.7501677)",1004
9,"(43.4029264, -72.7501677)",1004
10,"(43.402739, -72.7501952)",1004
11,"(43.4025679, -72.7502267)",1004
12,"(43.4021391, -72.7502804)",1004
13,"(43.4017611, -72.7501087)",955
14,"(43.4013479, -72.7497118)",945
15,"(43.4008373, -72.7490549)",945
16,"(43.4007526, -72.7489459)",945
17,"(43.4002023, -72.7477949)",908
18,"(43.4000347, -72.7473704)",908
19,"(43.399907, -72.7470469)",887
20,"(43.3998145, -72.7464973)",887
21,"(43.399777, -72.7462744)",887
22,"(43.3999542, -72.7456565)",858
23,"(43.400336, -72.7445325)",862
24,"(43.4006868, -72.7437945)",862
25,"(43.4010235, -72.7429977)",808
26,"(43.4011298, -72.7426562)",808
27,"(43.4011535, -72.7420382)",808
28,"(43.4012539, -72.7415585)",771
29,"(43.4012244, -72.7411194)",771
30,"(43.4012066, -72.7406153)",771
31,"(43.4011889, -72.7401275)",771
32,"(43.4011121, -72.7396315)",771
33,"(43.401053, -72.7391517)",743
34,"(43.4010635, -72.739055)",743
35,"(43.4010944, -72.7387696)",743
36,"(43.4012007, -72.73842)",743
37,"(43.4013957, -72.7380866)",743
38,"(43.4014852, -72.7378843)",743
39,"(43.4015611, -72.7377126)",743
40,"(43.4016674, -72.7373467)",694
41,"(43.4017324, -72.73681)",694
0,"(43.4008373, -72.7490549)",945
1,"(43.400664, -72.7491259)",945
2,"(43.3999088, -72.7494353)",899
3,"(43.3994125, -72.7495979)",899
4,"(43.3989399, -72.7496304)",899
5,"(43.3984909, -72.7495979)",899
6,"(43.398101, -72.7493865)",899
7,"(43.397652, -72.7492727)",841
8,"(43.3973093, -72.7489799)",841
9,"(43.3970612, -72.7486384)",841
10,"(43.3968299, -72.7484554)",841
11,"(43.3965336, -72.7483588)",841
12,"(43.3962608, -72.748155)",841
13,"(43.395949, -72.7477258)",837
14,"(43.3956995, -72.747243)",782
15,"(43.395411, -72.7468782)",782
16,"(43.3951108, -72.7465818)",782
17,"(43.3950524, -72.7465242)",782
18,"(43.3948497, -72.7463633)",782
19,"(43.394647, -72.7462667)",782
0,"(43.400664, -72.7491259)",945
1,"(43.3998779, -72.7485949)",899
2,"(43.399546, -72.7483173)",899
3,"(43.3991763, -72.7479511)",899
4,"(43.3988957, -72.7475327)",887
5,"(43.3986852, -72.7471572)",887
6,"(43.3984618, -72.7469037)",887
7,"(43.3981971, -72.7467729)",887
8,"(43.3977887, -72.7466959)",837
9,"(43.3973054, -72.7465349)",837
10,"(43.3969468, -72.7464276)",837
11,"(43.3966506, -72.7461594)",837
12,"(43.3963076, -72.7459019)",837
13,"(43.3959567, -72.7457946)",799
14,"(43.3956917, -72.7457624)",755
15,"(43.3953565, -72.7457624)",755
16,"(43.3951928, -72.7456981)",755
17,"(43.3949043, -72.7453547)",755
18,"(43.3947172, -72.7449792)",755
19,"(43.3944989, -72.7447217)",755
0,"(43.4000347, -72.7473704)",908
1,"(43.3995951, -72.7472399)",887
