,coordinates,elevation
110,"(44.5061364, -72.8212602)",838
111,"(44.5061135, -72.8214694)",838
112,"(44.5060331, -72.8216893)",838
113,"(44.5059604, -72.8218556)",838
114,"(44.5058495, -72.8219844)",838
115,"(44.50575, -72.8220756)",838
116,"(44.5056926, -72.8221775)",838
117,"(44.5056238, -72.822274)",838
118,"(44.5055932, -72.8223491)",838
119,"(44.5055855, -72.8224082)",838
120,"(44.5056008, -72.8224725)",838
121,"(44.5056506, -72.8225101)",838
122,"(44.50575, -72.8225476)",838
123,"(44.5058954, -72.8225637)",838
124,"(44.5060293, -72.8225745)",838
125,"(44.5059911, -72.8226656)",838
126,"(44.5059757, -72.8227461)",838
127,"(44.5059757, -72.8228212)",838
128,"(44.5059719, -72.8230519)",779
129,"(44.5059757, -72.8233577)",779
130,"(44.5059681, -72.8234649)",779
131,"(44.5059451, -72.8236098)",779
132,"(44.5059222, -72.8238297)",779
133,"(44.5058801, -72.8239746)",779
134,"(44.5058265, -72.8240979)",779
135,"(44.5057806, -72.8241409)",779
136,"(44.5056888, -72.824157)",779
137,"(44.5055205, -72.8241623)",779
138,"(44.505444, -72.8241784)",779
139,"(44.5053904, -72.8241999)",779
140,"(44.5053407, -72.8242857)",779
141,"(44.5052986, -72.824452)",779
142,"(44.505245, -72.8246022)",779
143,"(44.5051609, -72.8247685)",779
144,"(44.5050767, -72.8248758)",779
145,"(44.5050155, -72.8250206)",745
146,"(44.5049581, -72.8251547)",745
147,"(44.5048127, -72.8253103)",745
148,"(44.504652, -72.825482)",745
149,"(44.5045487, -72.8255732)",745
150,"(44.5045143, -72.8256214)",745
151,"(44.5044607, -72.8257448)",745
152,"(44.5043984, -72.825805)",745
153,"(44.5043316, -72.8259013)",745
154,"(44.5042743, -72.82599)",745
155,"(44.5041918, -72.8260532)",745
156,"(44.5041508, -72.8261324)",745
157,"(44.5042359, -72.8262167)",745
158,"(44.5043135, -72.8262945)",745
159,"(44.5043998, -72.8264138)",745
0,"(44.5240111, -72.816539)",1173
1,"(44.5239531, -72.8167175)",1162
2,"(44.5238521, -72.8168379)",1162
3,"(44.5237171, -72.8169688)",1162
4,"(44.5235632, -72.8170343)",1162
5,"(44.5232642, -72.8170839)",1162
6,"(44.5231027, -72.8171069)",1162
7,"(44.5229501, -72.8171635)",1162
