,coordinates,elevation
0,"(38.888277, -106.970078)",2757
1,"(38.8882418, -106.9700235)",2757
2,"(38.8876573, -106.9691142)",2757
3,"(38.8875445, -106.9690123)",2757
4,"(38.887484, -106.9689882)",2773
5,"(38.8874067, -106.9690043)",2773
6,"(38.8873357, -106.9690499)",2773
7,"(38.887294, -106.9691223)",2773
8,"(38.8872585, -106.9692081)",2773
9,"(38.8872314, -106.9693047)",2773
10,"(38.8872084, -106.9694039)",2773
11,"(38.8871666, -106.9694656)",2773
12,"(38.8871061, -106.9694763)",2773
13,"(38.8870539, -106.9694522)",2773
14,"(38.8870059, -106.9693771)",2773
15,"(38.8868384, -106.9689815)",2773
16,"(38.8866802, -106.9686314)",2762
17,"(38.8866342, -106.9685027)",2762
18,"(38.8865862, -106.9684276)",2762
19,"(38.8865215, -106.9683686)",2762
20,"(38.8863795, -106.9682318)",2762
21,"(38.8863336, -106.9681165)",2762
22,"(38.8862973, -106.9679633)",2762
23,"(38.8862856, -106.9677329)",2762
24,"(38.8862543, -106.9675344)",2762
25,"(38.8862292, -106.9674298)",2762
26,"(38.8861728, -106.967352)",2762
27,"(38.8861144, -106.9673073)",2762
28,"(38.8859954, -106.9672689)",2762
29,"(38.885916, -106.9672287)",2762
30,"(38.8858513, -106.9671348)",2762
31,"(38.8858116, -106.9670463)",2762
32,"(38.8857678, -106.9669551)",2762
33,"(38.8856877, -106.9668896)",2762
34,"(38.8853022, -106.966719)",2758
35,"(38.8850037, -106.9665849)",2743
36,"(38.88487, -106.9664857)",2743
37,"(38.8846508, -106.9663194)",2743
38,"(38.8845652, -106.9662791)",2743
39,"(38.8844629, -106.9662416)",2743
40,"(38.8843397, -106.9662443)",2743
41,"(38.8842562, -106.9662899)",2743
42,"(38.8842082, -106.9663408)",2743
43,"(38.8841769, -106.966424)",2743
44,"(38.8841581, -106.966542)",2743
45,"(38.8842186, -106.9670409)",2758
46,"(38.8842144, -106.9671428)",2758
47,"(38.8841831, -106.9672179)",2758
48,"(38.8841121, -106.9672555)",2758
49,"(38.8840453, -106.9672716)",2758
50,"(38.8839639, -106.9672716)",2758
51,"(38.8838595, -106.9672287)",2758
52,"(38.8832853, -106.9668826)",2741
53,"(38.8829847, -106.9666976)",2741
54,"(38.882874, -106.9666386)",2744
55,"(38.8826965, -106.9665876)",2744
56,"(38.8825045, -106.9665769)",2744
57,"(38.8823343, -106.9666024)",2744
58,"(38.8822253, -106.9666512)",2744
0,"(38.8943125, -106.9437743)",3238
1,"(38.8944106, -106.9438216)",3238
2,"(38.8944286, -106.9439857)",3238
3,"(38.8944521, -106.9441995)",3238
4,"(38.8944451, -106.9443816)",3238
5,"(38.8944415, -106.9444735)",3238
6,"(38.8943493, -106.9446646)",3238
7,"(38.8942244, -106.9448573)",3238
8,"(38.8940932, -106.9449777)",3238
9,"(38.8940226, -106.9450595)",3238
10,"(38.893914, -106.9451817)",3238
11,"(38.8938019, -106.9453173)",3238
12,"(38.8937132, -106.9456148)",3294
13,"(38.8936932, -106.945776)",3294
14,"(38.8936884, -106.9462978)",3265
15,"(38.8937273, -106.9469922)",3265
16,"(38.8936912, -106.9474149)",3265
17,"(38.893589, -106.9476819)",3265
18,"(38.8935195, -106.948062)",3237
19,"(38.8934862, -106.9484958)",3237
20,"(38.8934299, -106.9488015)",3237
21,"(38.8933428, -106.9493599)",3237
22,"(38.8933045, -106.9496007)",3237
23,"(38.8932296, -106.9498977)",3237
24,"(38.8931386, -106.9502318)",3186
25,"(38.8929018, -106.9505039)",3186
26,"(38.8927637, -106.9506924)",3186
27,"(38.8926249, -106.9508499)",3186
28,"(38.892603, -106.9510225)",3186
29,"(38.8926655, -106.9511188)",3186
30,"(38.8927654, -106.9510907)",3186
31,"(38.893006, -106.95089)",3186
32,"(38.8931841, -106.9506933)",3186
33,"(38.8933653, -106.9506211)",3186
34,"(38.8935277, -106.9504846)",3186
35,"(38.8936183, -106.950296)",3186
36,"(38.8936933, -106.9501635)",3186
37,"(38.8937964, -106.9499548)",3161
38,"(38.8939276, -106.9495414)",3161
39,"(38.89404, -106.9492403)",3161
40,"(38.8946867, -106.9480522)",3161
41,"(38.8948179, -106.9479599)",3161
42,"(38.8948991, -106.9480001)",3161
43,"(38.8948616, -106.9482882)",3161
44,"(38.8948005, -106.9485339)",3161
45,"(38.8947605, -106.948825)",3161
46,"(38.8946862, -106.9491573)",3161
47,"(38.8946083, -106.9495789)",3161
48,"(38.8945399, -106.9498986)",3161
49,"(38.8945556, -106.9502795)",3137
50,"(38.8945438, -106.950697)",3137
51,"(38.894529, -106.9510512)",3137
0,"(38.9078004, -106.9528498)",3088
1,"(38.9077652, -106.9527235)",3088
2,"(38.907632, -106.952245)",3088
3,"(38.9075865, -106.9519047)",3094
4,"(38.90764, -106.9517638)",3094
5,"(38.9080545, -106.9515576)",3094
6,"(38.9082096, -106.9512552)",3094
7,"(38.9082324, -106.9510676)",3094
8,"(38.9082417, -106.9509906)",3094
9,"(38.9081971, -106.9505077)",3094
10,"(38.9081668, -106.9501796)",3094
11,"(38.908239, -106.9498531)",3104
12,"(38.908338, -106.949506)",3056
13,"(38.9083647, -106.9490764)",3056
14,"(38.9081989, -106.9482963)",3104
15,"(38.9081565, -106.9479151)",3077
16,"(38.9081347, -106.947719)",3077
17,"(38.9079636, -106.9473478)",3077
18,"(38.9077577, -106.9468873)",3077
19,"(38.9076721, -106.9463272)",3077
20,"(38.9077309, -106.945901)",3077
21,"(38.9078566, -106.9455711)",3046
22,"(38.9079173, -106.9453383)",3046
23,"(38.9078544, -106.9450164)",3046
24,"(38.9076868, -106.9445347)",3046
25,"(38.9075487, -106.9440741)",3046
26,"(38.9075848, -106.9433431)",3024
27,"(38.9075519, -106.9424557)",3024
28,"(38.907496, -106.9418642)",3024
29,"(38.9074562, -106.9416252)",2997
30,"(38.9074467, -106.9415684)",2997
31,"(38.9074533, -106.9408796)",2997
32,"(38.90745, -106.9405627)",2997
33,"(38.9073908, -106.9402881)",2997
34,"(38.9071146, -106.9396077)",2997
35,"(38.9069338, -106.9393246)",2958
36,"(38.9066214, -106.9389443)",2958
37,"(38.9062564, -106.9385049)",2958
38,"(38.9058397, -106.9380736)",2995
39,"(38.9057665, -106.9379133)",2995
40,"(38.9057467, -106.9376175)",2995
41,"(38.9059144, -106.9374443)",2950
42,"(38.9061216, -106.9372964)",2950
43,"(38.9062301, -106.9371527)",2950
44,"(38.9062959, -106.9369626)",2919
45,"(38.9062893, -106.9368274)",2919
46,"(38.9061601, -106.9367218)",2950
47,"(38.9060002, -106.9366972)",2950
48,"(38.9058894, -106.9367028)",2950
49,"(38.9057139, -106.9367598)",2950
50,"(38.9056087, -106.9368066)",2950
51,"(38.9055166, -106.9367598)",2950
52,"(38.9054508, -106.9365992)",2950
53,"(38.9054048, -106.9364144)",2950
54,"(38.9052798, -106.9362865)",2950
0,"(38.8960522, -106.9416131)",3137
1,"(38.89626, -106.9417986)",3143
2,"(38.8964475, -106.9418545)",3143
3,"(38.896509, -106.9418884)",3143
4,"(38.8966508, -106.9420851)",3143
5,"(38.8967807, -106.9422852)",3143
0,"(38.8935074, -106.9531679)",3128
1,"(38.8935811, -106.9531589)",3128
2,"(38.8939938, -106.9530553)",3113
3,"(38.8943901, -106.9529011)",3113
4,"(38.8945546, -106.9528462)",3113
5,"(38.8947568, -106.9527955)",3113
6,"(38.8948385, -106.952804)",3113
7,"(38.8950808, -106.9528293)",3113
8,"(38.8954951, -106.9529476)",3113
9,"(38.8957089, -106.953011)",3113
10,"(38.8957928, -106.9530596)",3113
11,"(38.8958618, -106.9532856)",3083
12,"(38.8959934, -106.9533955)",3083
13,"(38.8961414, -106.9534377)",3083
14,"(38.8962499, -106.953518)",3083
0,"(38.8786935, -106.9634145)",2712
1,"(38.8790026, -106.9633823)",2712
2,"(38.8794703, -106.9635432)",2717
3,"(38.8798043, -106.9634789)",2717
4,"(38.8800883, -106.9635647)",2717
