,coordinates,elevation
0,"(37.624435, -107.8164212)",2823
1,"(37.6240654, -107.8158687)",2823
2,"(37.6240654, -107.8153108)",2823
3,"(37.6231306, -107.8143452)",2736
4,"(37.6230287, -107.813401)",2736
0,"(37.617559, -107.8267865)",3184
1,"(37.6174316, -107.8261885)",3184
2,"(37.6174302, -107.8261817)",3184
3,"(37.6178126, -107.8248782)",3171
4,"(37.6183888, -107.8241942)",3171
5,"(37.6194128, -107.8232877)",3114
6,"(37.6196847, -107.8221826)",3107
7,"(37.6206663, -107.8208039)",3056
8,"(37.6212908, -107.8202889)",3005
9,"(37.6223021, -107.8198276)",3005
10,"(37.6237935, -107.8165553)",2823
11,"(37.624435, -107.8164212)",2823
12,"(37.6261363, -107.8158619)",2781
0,"(37.6229751, -107.8199912)",2978
1,"(37.6238534, -107.8185583)",2911
2,"(37.6249205, -107.8180505)",2911
3,"(37.6261363, -107.8158619)",2781
4,"(37.6266205, -107.8154067)",2781
5,"(37.6274092, -107.815107)",2757
6,"(37.6281101, -107.8151391)",2757
7,"(37.6288749, -107.8150747)",2757
0,"(37.620152, -107.8564837)",3221
1,"(37.6208712, -107.8562822)",3137
2,"(37.6210844, -107.8562224)",3140
3,"(37.622631, -107.855965)",3140
4,"(37.6237867, -107.8562224)",3074
5,"(37.6246024, -107.8570593)",3073
6,"(37.6251973, -107.8575528)",3016
7,"(37.6253842, -107.8578318)",3016
0,"(37.6188265, -107.8547956)",3223
1,"(37.6192148, -107.8548277)",3223
2,"(37.6199626, -107.8547419)",3223
3,"(37.6207954, -107.8545487)",3223
4,"(37.6219172, -107.8545487)",3140
0,"(37.6180253, -107.8529625)",3290
1,"(37.6202346, -107.8537548)",3209
2,"(37.6219172, -107.8545487)",3140
3,"(37.6226478, -107.8549308)",3140
4,"(37.6247894, -107.8560508)",3074
5,"(37.6254352, -107.856201)",3026
6,"(37.626166, -107.8566945)",3016
7,"(37.6280863, -107.8577459)",2949
8,"(37.629157, -107.8586042)",2938
9,"(37.6300067, -107.8586686)",2844
0,"(37.6180421, -107.8531325)",3290
1,"(37.6180253, -107.8529625)",3290
2,"(37.6178917, -107.8520466)",3276
3,"(37.6178662, -107.8514579)",3276
4,"(37.6179555, -107.8507595)",3276
5,"(37.618059, -107.8499353)",3258
6,"(37.618467, -107.8490127)",3258
7,"(37.6191808, -107.8479612)",3244
8,"(37.6194808, -107.8474699)",3243
9,"(37.6196432, -107.8472039)",3243
10,"(37.6198097, -107.8469313)",3243
11,"(37.6200136, -107.8456867)",3226
12,"(37.6203353, -107.845063)",3226
13,"(37.6206125, -107.8441226)",3226
14,"(37.6207514, -107.8427435)",3229
15,"(37.6207292, -107.8421161)",3229
0,"(37.6191456, -107.8435556)",3229
1,"(37.6191319, -107.8432886)",3229
2,"(37.6192928, -107.8429539)",3229
3,"(37.6197209, -107.8428296)",3229
4,"(37.6203953, -107.8424422)",3229
5,"(37.6207292, -107.8421161)",3229
6,"(37.6207557, -107.8415618)",3232
7,"(37.6210674, -107.8401292)",3200
8,"(37.6211541, -107.8396296)",3200
9,"(37.6211864, -107.8391636)",3184
10,"(37.6211216, -107.8388071)",3184
11,"(37.6209032, -107.8378154)",3184
12,"(37.6208692, -107.8365725)",3162
13,"(37.6207829, -107.8362017)",3206
14,"(37.6206946, -107.8357812)",3206
15,"(37.620736, -107.8348553)",3190
16,"(37.6206842, -107.833823)",3190
17,"(37.6207759, -107.8329746)",3182
18,"(37.6208464, -107.8305162)",3117
19,"(37.6210512, -107.8303754)",3117
20,"(37.6212175, -107.8304886)",3117
0,"(37.6244916, -107.8212149)",3023
1,"(37.6245744, -107.8213616)",3023
2,"(37.6247498, -107.8215547)",3023
3,"(37.6255032, -107.8223837)",2954
4,"(37.6258002, -107.8222693)",2954
5,"(37.6264549, -107.8216327)",2954
0,"(37.6268097, -107.8220571)",2954
1,"(37.6276105, -107.8203345)",2859
2,"(37.6279334, -107.8193045)",2859
3,"(37.6280866, -107.8184018)",2821
4,"(37.6284166, -107.8182205)",2821
5,"(37.6286906, -107.8178714)",2821
6,"(37.629164, -107.8174037)",2821
7,"(37.6293655, -107.8157672)",2747
8,"(37.6296736, -107.8150868)",2747
0,"(37.6289679, -107.8205591)",2859
1,"(37.6291165, -107.8201383)",2859
2,"(37.6292669, -107.8197126)",2832
3,"(37.6295927, -107.8187903)",2832
4,"(37.6295319, -107.8177723)",2793
5,"(37.6295957, -107.8167027)",2793
6,"(37.6297205, -107.8158336)",2747
7,"(37.6296158, -107.8150458)",2747
0,"(37.6178264, -107.8274579)",3185
1,"(37.6178053, -107.8278022)",3185
2,"(37.6179042, -107.828371)",3185
3,"(37.6180474, -107.8286115)",3185
4,"(37.6184835, -107.8285741)",3185
5,"(37.6192828, -107.8276194)",3146
6,"(37.6197587, -107.8269542)",3126
7,"(37.6205235, -107.8260315)",3126
8,"(37.6209894, -107.8258686)",3083
9,"(37.6212026, -107.8258481)",3083
10,"(37.6214073, -107.8258598)",3083
11,"(37.62258, -107.8260315)",3083
12,"(37.6232926, -107.8263649)",3055
13,"(37.6237697, -107.8265679)",3055
14,"(37.6247554, -107.8271473)",3059
15,"(37.6258675, -107.8288309)",3013
16,"(37.6268167, -107.8288195)",3013
