,coordinates,elevation
3,"(44.1665002, -71.6986997)",926
4,"(44.1670832, -71.6983996)",878
5,"(44.1675065, -71.6981579)",878
6,"(44.1678279, -71.6982052)",878
7,"(44.1681701, -71.6982933)",878
0,"(44.1681701, -71.6982933)",878
1,"(44.1685786, -71.6985313)",878
2,"(44.1688527, -71.6985806)",811
3,"(44.1692947, -71.6986977)",811
4,"(44.1695254, -71.6988754)",811
5,"(44.1697247, -71.6989988)",811
6,"(44.1698959, -71.6991463)",811
7,"(44.1700652, -71.6993367)",811
8,"(44.1703153, -71.6994467)",811
9,"(44.1706001, -71.6996452)",811
10,"(44.1707544, -71.6997599)",811
0,"(44.1677447, -71.6976132)",893
1,"(44.1684025, -71.6980995)",878
2,"(44.169126, -71.6980248)",811
3,"(44.1698429, -71.6980528)",811
4,"(44.169956, -71.6981297)",811
5,"(44.1701175, -71.6982396)",811
0,"(44.1701175, -71.6982396)",811
1,"(44.1701987, -71.6983175)",811
2,"(44.1706171, -71.6987189)",811
3,"(44.1712174, -71.6988262)",752
4,"(44.1727206, -71.699036)",752
5,"(44.1730442, -71.699083)",700
0,"(44.1677923, -71.6972752)",893
1,"(44.1686931, -71.6972179)",893
2,"(44.1696846, -71.6972179)",808
3,"(44.1698211, -71.6974273)",808
4,"(44.1699551, -71.6977542)",808
5,"(44.169956, -71.6981297)",811
0,"(44.1696846, -71.6972179)",808
1,"(44.1697115, -71.6969271)",808
2,"(44.1697317, -71.695784)",741
3,"(44.169742, -71.6951858)",741
4,"(44.1698273, -71.6947981)",741
5,"(44.1698916, -71.6945061)",741
6,"(44.1703614, -71.6936852)",680
7,"(44.1714281, -71.6916429)",595
0,"(44.1698273, -71.6947981)",741
1,"(44.1696718, -71.6945054)",741
2,"(44.1691039, -71.6935178)",680
3,"(44.1689804, -71.693303)",680
4,"(44.1688585, -71.6930409)",680
5,"(44.1687576, -71.6928424)",680
6,"(44.1684524, -71.6922412)",749
0,"(44.1688585, -71.6930409)",680
1,"(44.1699916, -71.6919466)",680
2,"(44.1713131, -71.6911903)",595
0,"(44.1687576, -71.6928424)",680
1,"(44.1688354, -71.6925796)",680
2,"(44.1689633, -71.6922892)",680
3,"(44.1698127, -71.6914933)",639
4,"(44.1704389, -71.6908864)",639
5,"(44.1709839, -71.690256)",595
0,"(44.1684524, -71.6922412)",749
1,"(44.1683491, -71.6917286)",749
2,"(44.1683618, -71.6914322)",691
3,"(44.1693942, -71.6902763)",639
4,"(44.1697478, -71.689771)",639
5,"(44.1699411, -71.6896311)",639
6,"(44.1700786, -71.6896042)",639
0,"(44.1684524, -71.6922412)",749
1,"(44.1692375, -71.6915556)",639
2,"(44.1701063, -71.6905354)",639
3,"(44.1704531, -71.689987)",639
4,"(44.170735, -71.6897191)",639
0,"(44.1700891, -71.6893724)",613
1,"(44.1700786, -71.6896042)",639
2,"(44.170083, -71.6901078)",639
3,"(44.1701063, -71.6905354)",639
0,"(44.1614605, -71.6956568)",1074
1,"(44.1616282, -71.6953913)",1074
2,"(44.1617841, -71.6951204)",1074
3,"(44.1619399, -71.6949112)",1074
4,"(44.1620996, -71.694871)",1074
5,"(44.162269, -71.694871)",1074
6,"(44.1624075, -71.6948871)",1074
7,"(44.1625056, -71.6949434)",989
8,"(44.1625903, -71.6950024)",989
9,"(44.1626887, -71.694954)",989
10,"(44.1662439, -71.6920419)",829
11,"(44.1698553, -71.6891453)",613
0,"(44.1699551, -71.6977542)",808
1,"(44.1701591, -71.6972973)",808
2,"(44.1701932, -71.6965311)",808
3,"(44.1702145, -71.6960333)",808
4,"(44.1705394, -71.6950848)",741
5,"(44.1714939, -71.6938956)",659
6,"(44.1716564, -71.6932727)",616
7,"(44.1717948, -71.6925184)",616
0,"(44.1704478, -71.6966759)",808
1,"(44.1704478, -71.6966759)",808
2,"(44.1704807, -71.696421)",808
3,"(44.1706125, -71.6962254)",808
4,"(44.1711882, -71.6951642)",659
5,"(44.1716364, -71.6943917)",659
6,"(44.1716859, -71.6939756)",659
7,"(44.1717623, -71.6936479)",616
8,"(44.1717931, -71.6935232)",616
9,"(44.1718797, -71.6938692)",659
10,"(44.1719087, -71.6943313)",659
11,"(44.1717489, -71.6948535)",659
12,"(44.1713267, -71.6956684)",659
13,"(44.1708111, -71.6966448)",808
14,"(44.1705705, -71.696851)",808
15,"(44.1704626, -71.6970432)",808
16,"(44.1703681, -71.6968326)",808
0,"(44.1701987, -71.6983175)",811
1,"(44.1704726, -71.69817)",811
2,"(44.1706709, -71.6978678)",808
3,"(44.1707369, -71.6977503)",808
4,"(44.172228, -71.6951358)",659
5,"(44.1723666, -71.6946187)",659
6,"(44.1723685, -71.6940635)",659
7,"(44.1724379, -71.6936316)",616
8,"(44.1726667, -71.6932615)",616
9,"(44.172835, -71.6930027)",616
0,"(44.1711316, -71.6977499)",725
1,"(44.1716827, -71.6968636)",725
2,"(44.1719393, -71.6963961)",725
3,"(44.172504, -71.6954699)",659
4,"(44.1728558, -71.6948813)",659
0,"(44.1708557, -71.6980633)",752
1,"(44.1707694, -71.6978307)",808
2,"(44.1707369, -71.6977503)",808
3,"(44.170372, -71.6969251)",808
4,"(44.1701932, -71.6965311)",808
5,"(44.170089, -71.6962667)",808
6,"(44.1697317, -71.695784)",741
0,"(44.1712316, -71.6981995)",752
1,"(44.1727431, -71.6973447)",725
2,"(44.1733972, -71.696519)",664
3,"(44.1740248, -71.6949662)",610
0,"(44.1740114, -71.6973683)",664
1,"(44.1738518, -71.6967564)",664
2,"(44.17351, -71.6958037)",610
3,"(44.1728558, -71.6948813)",659
4,"(44.1724827, -71.6943553)",659
5,"(44.1723685, -71.6940635)",659
6,"(44.1721856, -71.6935807)",616
7,"(44.1717948, -71.6925184)",616
8,"(44.1714281, -71.6916429)",595
9,"(44.1713131, -71.6911903)",595
10,"(44.1709839, -71.690256)",595
11,"(44.1709043, -71.6900329)",595
12,"(44.170735, -71.6897191)",639
13,"(44.1705854, -71.6895588)",613
14,"(44.1702882, -71.6895079)",613
15,"(44.1702141, -71.6894931)",613
16,"(44.1700891, -71.6893724)",613
17,"(44.170014, -71.689182)",613
18,"(44.1699323, -71.6889808)",613
0,"(44.1727206, -71.699036)",752
1,"(44.1729101, -71.6986858)",752
2,"(44.1734709, -71.6980332)",700
3,"(44.1740114, -71.6973683)",664
4,"(44.1745084, -71.6956034)",610
0,"(44.1732409, -71.6990996)",700
1,"(44.174322, -71.6985357)",700
2,"(44.1749761, -71.698585)",700
3,"(44.1758954, -71.6987699)",643
4,"(44.1773096, -71.6993984)",605
0,"(44.1766661, -71.6990021)",643
1,"(44.1762736, -71.6974679)",612
0,"(44.1762579, -71.6975155)",612
1,"(44.1762579, -71.6975155)",612
2,"(44.1757042, -71.6977254)",612
3,"(44.1745866, -71.698258)",700
4,"(44.1741653, -71.6983799)",700
5,"(44.174385, -71.6980211)",700
6,"(44.1746398, -71.6977714)",664
7,"(44.1752196, -71.6975389)",612
8,"(44.1761909, -71.6972587)",612
0,"(44.1730442, -71.699083)",700
1,"(44.1732409, -71.6990996)",700
2,"(44.1746421, -71.6992131)",700
3,"(44.1770563, -71.7001238)",638
0,"(44.1741914, -71.6996506)",700
1,"(44.1748814, -71.699828)",700
2,"(44.1758804, -71.700565)",638
3,"(44.1770383, -71.7009355)",638
0,"(44.1706129, -71.6992002)",811
