name,id
West Quad,93232987
Bakke Double,93232991
Sunrise Triple,93232996
East Ridge Double,93233002
Face Lift 2000,93233007
 _1,256880495
SkiLink Double,256880496
Look Out Quad,256880497
East Quad,256880498
Belle Creek Quad,256880671
 _2,889409501
